Base_ID	url	domain	webMethod	type	pageDepth	gatewayType	validateParsedOutput	fetchNextCrawlUrl	uniqueIdentifier	region_input	search_keyword	Channel	scope_name	category_input	Top_Category_LVMH	Category_LVMH	Sub_Category_LVMH	Project	Batch	SubBatch	Scrape_Frequency	Partner_Name	ip_search_keyword_category	ip_filter_by_category	site_name	no_of_pages
124	https://www.mediamarkt.de/de/search.html?query=gaming%20desktop	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	124	DE	gaming desktop	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
125	https://www.mediamarkt.de/de/category/gaming-laptops-348.html?query=laptop%20gaming&queryMeta[finalQuery]=gaming%20laptop&queryMeta[ga_query]=laptop%20gaming&queryMeta[queryHash]=dc53784ef988bccdac93fd4d37626312668d9644dcd8643845a295a43ec31f19&queryMeta[queryRequestId]=dc53784ef988bccdac93fd4d37626312668d9644dcd8643845a295a43ec31f19&queryMeta[standardizedQuery]=gaming%20laptop&queryMeta[userInput]=laptop%20gaming&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	125	DE	laptop gaming	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
126	https://www.mediamarkt.de/de/category/gaming-pcs-367.html?query=prebuilt%20gaming%20pc&queryMeta[ga_query]=prebuilt%20gaming%20pc&queryMeta[queryHash]=ce19fdd7b80e82d816e2a83bcb392c3aaeb496a3ae42e706e7beba0d639c6e06&queryMeta[queryRequestId]=ce19fdd7b80e82d816e2a83bcb392c3aaeb496a3ae42e706e7beba0d639c6e06&searchFeatures[0][name]=redirect&searchFeatures[0][value]=1	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	126	DE	prebuilt gaming pc	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
127	https://www.mediamarkt.de/de/search.html?query=pc%20gamer	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	127	DE	pc gamer	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
128	https://www.mediamarkt.de/de/search.html?query=all%20in%20one%20desktop%20computer	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	128	DE	all in one desktop computer	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
129	https://www.mediamarkt.de/de/search.html?query=acer%20nitro%205	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	129	DE	acer nitro 5	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
130	https://www.mediamarkt.de/de/search.html?query=mini%20gaming%20pc	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	130	DE	mini gaming pc	Desktop	Hi-Tech_POC	n/a	Computers	Desktop	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
131	https://www.mediamarkt.de/de/search.html?query=laptop%20gamer	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	131	DE	laptop gamer	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
132	https://www.mediamarkt.de/de/search.html?query=msi%20gaming%20laptop	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	132	DE	msi gaming laptop	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
133	https://www.mediamarkt.de/de/search.html?query=acer%20laptop	mediamarkt_de	get	product_listing	product_listing	PLAYWRIGHT	False	True	133	DE	acer laptop	Desktop	Hi-Tech_POC	n/a	Computers	Laptops	n/a	Hi-Tech_POC	Germany	Media Markt	Daily	Media Markt	n/a	n/a	Media Markt	0
